x,y,z,grp,scale
-10,66,8,0,5
18,57,0,0,5
-18,58,-8,3,10
-24,62,22,1,19
-9,59,28,0,383
-21,56,-8,0,19
-34,52,-4,0,151
-30,62,18,1,109
-40,52,8,1,109
