x,y,z,grp,scale
26,57,-8,1,45
28,38,31,1,45
28,55,-1,1,45
30,57,-5,0,45
36,63,6,0,5
27,62,22,1,19
9,59,34,0,383
26,64,10,0,29
30,52,8,1,140
30,48,8,1,140
20,68,10,2,156
32,56,0,2,156
36,54,18,1,109
38,62,8,1,109
